Date,AUC (Billion USD),Net Deposits (Billion USD),SPY Close (USD)
2022-01-31,86.8,1.9,449.91
2022-02-28,88.9,2.9,436.63
2022-03-31,93.1,1.6,451.64
2022-04-30,78.5,1.2,412
2022-05-31,73.9,1.2,412.93
2022-06-30,64.2,2.5,377.25
2022-07-31,74.6,1.5,411.99
2022-08-31,71,0.7,395.18
2022-09-30,64.6,0.8,357.18
2022-10-31,70.2,1.3,386.21
2022-11-30,70.2,1.6,407.68
2022-12-31,62.2,1.7,382.43
2023-01-31,74.7,1.4,406.48
2023-02-28,74.7,1.4,396.26
2023-03-31,78.4,1.5,409.39
2023-04-30,77.4,1.5,415.93
2023-05-31,81.8,1.4,417.85
2023-06-30,88.8,1.6,443.28
2023-07-31,94.5,1.1,457.79
2023-08-31,89.7,1.4,450.35
2023-09-30,86.5,1.6,427.48
2023-10-31,84.6,1,418.2
2023-11-30,94.4,1.4,456.4
2023-12-31,102.6,2.2,475.31
2024-01-31,102.4,3.8,482.88
2024-02-29,118.7,3.6,508.08
2024-03-31,129.6,3.8,523.07
2024-04-30,123.3,4.9,501.98
2024-05-31,135,3.6,527.37
2024-06-30,139.7,4.7,544.22
2024-07-31,144.5,4.2,550.81
2024-08-31,143.6,3.3,563.68
2024-09-30,152.2,2.5,573.76
2024-10-31,159.7,5.2,568.64
2024-11-30,194.6,5.6,602.55
2024-12-31,192.9,5.3,586.08
2025-01-31,203.7,5.6,601.82
2025-02-28,187.4,4.8,594.18
2025-03-31,220.6,7.6,559.16
